name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.app.id,description
sql,1552939724797,221780645,14,false,0,select input.c1 from input where input.c1 < -0.9,203354685,error,"",18425960,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939725413,251940150,15,false,0,select input.c1 from input where input.c1 < -0.9,240896810,error,"",11043340,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939726370,239230574,16,false,0,select input.c1 from input where input.c1 < -0.9,218292840,error,"",20937734,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939727120,307675493,17,false,0,select input.c1 from input where input.c1 < -0.9,276740312,error,"",30935181,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939727750,267540817,18,false,0,select input.c1 from input where input.c1 < -0.9,190054516,error,"",77486301,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939728344,270707615,19,false,0,select input.c1 from input where input.c1 < -0.9,238224475,error,"",32483140,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939728887,384492026,20,false,0,select input.c1 from input where input.c1 < -0.9,322834268,error,"",61657758,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939729655,220746970,21,false,0,select input.c1 from input where input.c1 < -0.9,201960880,error,"",18786090,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939730263,296352472,22,false,0,select input.c1 from input where input.c1 < -0.9,277800281,error,"",18552191,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
sql,1552939730803,307173108,23,false,0,select input.c1 from input where input.c1 < -0.9,287679922,error,"",19493186,/tmp/spark-bench-test/kmeans-data.parquet,"",spark-master,44457,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://spark-master:7077,app-20190318200803-0001,Read data from data source
