,timestamp,total_Runtime
0,1553114320947,2520464284.0
1,1553114324230,288758498.0
2,1553114324837,314642965.0
3,1553114325602,279269924.0
4,1553114326194,224864498.0
5,1553114326640,234393334.0
6,1553114327292,270592379.0
7,1553114327825,155148137.0
8,1553114328168,181788290.0
9,1553114328553,149001887.0
14,1553114350595,106790867.0
15,1553114350843,109211700.0
16,1553114351126,300309323.0
17,1553114351630,102553300.0
18,1553114351855,110109553.0
19,1553114352105,97525340.0
20,1553114352381,128716161.0
21,1553114352623,230788041.0
22,1553114353041,120751016.0
23,1553114353278,113742095.0
28,1553114364773,116848865.0
29,1553114365005,114856236.0
30,1553114365253,115699936.0
31,1553114365486,207404273.0
32,1553114365857,93625932.0
33,1553114366096,90986868.0
34,1553114366285,87451699.0
35,1553114366494,85322100.0
36,1553114366671,101180520.0
37,1553114366918,122243657.0
42,1553114378621,110606307.0
43,1553114378888,134271623.0
44,1553114379127,129247770.0
45,1553114379386,120296353.0
46,1553114379611,84533984.0
47,1553114379854,105391260.0
48,1553114380093,77729654.0
49,1553114380262,82991117.0
50,1553114380444,84589347.0
51,1553114380618,76333278.0
56,1553114391160,76970834.0
57,1553114391330,116194997.0
58,1553114391663,79202034.0
59,1553114391828,83701201.0
60,1553114391993,80351034.0
61,1553114392160,92553747.0
62,1553114392341,72888011.0
63,1553114392493,150892353.0
64,1553114392818,99652507.0
65,1553114393023,76865490.0
70,1553114403325,89343460.0
71,1553114403495,78835691.0
72,1553114403658,80601768.0
73,1553114403819,121593938.0
74,1553114404118,86598420.0
75,1553114404304,83907883.0
76,1553114404472,70631655.0
77,1553114404622,78801562.0
78,1553114404794,75309306.0
79,1553114404969,136032388.0
84,1553114415267,133179010.0
85,1553114415593,68575915.0
86,1553114415737,74845697.0
87,1553114415884,68287321.0
88,1553114416027,70135120.0
89,1553114416173,79507064.0
90,1553114416385,89231610.0
91,1553114416581,73124201.0
92,1553114416731,70589938.0
93,1553114416881,101916884.0
98,1553114426947,92245124.0
99,1553114427128,76568588.0
100,1553114427329,115394145.0
101,1553114427602,101267598.0
102,1553114427837,104589077.0
103,1553114428032,84855974.0
104,1553114428193,81704890.0
105,1553114428353,67911715.0
106,1553114428502,76293482.0
107,1553114428650,113732517.0
112,1553114437592,67622405.0
113,1553114437777,111833707.0
114,1553114438022,79549845.0
115,1553114438176,77127656.0
116,1553114438342,71025017.0
117,1553114438485,65828424.0
118,1553114438623,66347960.0
119,1553114438762,125740178.0
120,1553114439010,72591229.0
121,1553114439152,71292199.0
126,1553114447984,130812848.0
127,1553114448243,83685576.0
128,1553114448410,71319315.0
129,1553114448566,91482113.0
130,1553114448738,71372344.0
131,1553114448892,71026657.0
132,1553114449039,119023151.0
133,1553114449312,72992373.0
134,1553114449472,73532894.0
135,1553114449622,71751946.0
